SMILES,IC50_nM,pIC50
C[C@@]12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2)C(F)(F)F,1478,5.83
BrC1=C2c3ccc4[nH]ncc4c3C[C@]2(CCC5CC5)CCC1=O,229,6.64
CC[C@@]12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2)C(F)(F)F,360,6.444
CCCC[C@@]12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2)C(F)(F)F,176,6.754
CC[C@@]12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2)c5ccccc5,46,7.337
CCC12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2=O)C,624,6.205
CC[C@@]12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2=O)Cl,139,6.857
CCC12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2=O)Br,352,6.453
CC[C@@]12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2=O)C(F)(F)F,58,7.237
CCCC[C@@]12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2=O)C(F)(F)F,40,7.398
CCC12CCC(=O)C(=C1c3ccc4[nH]nc(Cl)c4c3C2)C,2420,5.616
CCC12CCC(=O)C(=C1c3ccc4[nH]nc(Br)c4c3C2)C,5880,5.231
CC[C@@]12CCC(=O)C(=C1c3ccc4[nH]nc(F)c4c3C2)Cl,82,7.086
CCC12CCC(=O)C(=C1c3ccc4[nH]nc(F)c4c3C2)Br,197,6.706
CC[C@@]12CCC(=O)C(=C1c3ccc4[nH]nc(F)c4c3C2)C(F)(F)F,50.9,7.293
CCCC[C@@]12CCC(=O)C(=C1c3ccc4[nH]nc(F)c4c3C2)CC,23,7.638
CCCC[C@@]12CCC(=O)C(=C1c3ccc4[nH]nc(F)c4c3C2)C(F)(F)F,49.2,7.308
CCC[C@@]12CCC(=O)C(=C1c3ccc(O)cc3C2)C,455,6.342
CC1=C2c3ccc(O)cc3C[C@@]24CC[C@H](C4)C1=O,793,6.101
CCC[C@@H]1C[C@@H]2C[C@]13Cc4cc(O)ccc4C3=C(C)C2=O,97,7.013
CC1=C2c3ccc(O)cc3C[C@@]24CCC[C@H](C4)C1=O,414,6.383
CC[C@@H]1CC[C@@H]2C[C@]13Cc4cc(O)ccc4C3=C(C)C2=O,146,6.836
CC[C@H]1CC[C@@H]2C[C@]13Cc4cc(O)ccc4C3=C(C)C2=O,310,6.509
CCC[C@@H]1CC[C@@H]2C[C@]13Cc4cc(O)ccc4C3=C(C)C2=O,84,7.076
CCC[C@H]1CC[C@@H]2C[C@]13Cc4cc(O)ccc4C3=C(C)C2=O,605,6.218
CC[C@@]12CCC(=O)C(=C1c3ccc(O)cc3C2)C,1210,5.917
CC1=C2c3ccc(O)cc3CC2(Cc4ccccc4)CCC1=O,1500,5.824
CC1=C2c3ccc(O)cc3CC2(Cc4ccc(Cl)cc4)CCC1=O,6800,5.167
CC1=C2c3ccc4[nH]ncc4c3CC2(Cc5ccccc5F)CCC1=O,3400,5.469
O=C1CCC2(Cc3ccccc3)Cc4c(ccc5[nH]ncc45)C2=C1c6ccc(OCCN7CCCCC7)cc6,620,6.208
Oc1ccc2C3=C(C(=O)CCC3(Cc4ccccc4)Cc2c1)c5ccc(OCCN6CCCCC6)cc5,380,6.42
Oc1ccc(cc1)C2=C3c4ccc(O)cc4CC3(Cc5ccccc5)CCC2=O,220,6.658
CCCCC1=C2c3ccc(O)cc3CC2(Cc4ccccc4)CCC1=O,260,6.585
Oc1ccc2C3=C(C(=O)CCC3(Cc4ccccc4)Cc2c1)c5ccc(OCCN6CCOCC6)cc5,710,6.149
CN(C)CCOc1ccc(cc1)C2=C3c4ccc(O)cc4CC3(Cc5ccccc5)CCC2=O,1200,5.921
Oc1ccc2C3=C(C(=O)CCC3(Cc4ccc(Cl)cc4)Cc2c1)c5ccc(OCCN6CCCCC6)cc5,1100,5.959
O=C1CCC2(Cc3ccccc3)Cc4c(ccc5[nH]ncc45)C2=C1,3900,5.409
CC1=C2c3ccc4[nH]ncc4c3CC2(Cc5ccccc5)CCC1=O,160,6.796
CC1=C2c3ccc4[nH]ncc4c3CC2(Cc5cccc(F)c5)CCC1=O,440,6.357
CC1=C2c3ccc4[nH]ncc4c3CC2(Cc5ccc(F)cc5)CCC1=O,82,7.086
CC1=C2c3ccc4[nH]nnc4c3CC2(Cc5ccccc5)CCC1=O,1200,5.921
CC1=C2c3ccc4[nH]ncc4c3CC2(Cc5ccc6ccccc6c5)CCC1=O,5500,5.26
CC1=C2c3ccc4[nH]nnc4c3CC2(Cc5ccc(F)cc5)CCC1=O,340,6.469
CCCCC12CCC(=O)C(=C1c3ccc4[nH]nnc4c3C2)Br,141,6.851
CCCC[C@@]12CCC(=O)C(=C1c3ccc4[nH]nnc4c3C2)c5cccs5,34,7.469
CCCCC12CCC(=O)C(=C1c3ccc4[nH]nnc4c3C2)c5occc5,1119,5.951
CCCC[C@@]12CCC(=O)C(=C1c3ccc4[nH]nnc4c3C2)C(F)(F)F,896,6.048
CCCC[C@@]12CCC(=O)C(=C1c3ccc4[nH]nnc4c3C2)Br,1906,5.72
CCCCC12CCC(=O)C(=C1c3ccc4[nH]nnc4c3C2)CCC,1249,5.903
CCCC[C@@]12CCC(=O)C(=C1c3ccc4[nH]nnc4c3C2)CC,220,6.658
CCCC[C@]12CCC(=O)C(=C1c3ccc4[nH]nnc4c3C2)CC,4753,5.323
CCCCC12CCC(=O)C(=C1c3ccc4[nH]nnc4c3C2)C,5982,5.223
CCCC12CCC(=O)C(=C1c3ccc4[nH]nnc4c3C2)Br,3301,5.481
CCCC1=C2c3ccc4[nH]nnc4c3CC2(CCC)CCC1=O,344,6.463
CCCC12CCC(=O)C(=C1c3ccc4[nH]nnc4c3C2)CC,612,6.213
CCCC12CCC(=O)C(=C1c3ccc4[nH]nnc4c3C2)C,6173,5.21
CC[C@@]12CCC(=O)C(=C1c3ccc4[nH]nnc4c3C2)C(F)(F)F,1678,5.775
CCC12CCC(=O)C(=C1c3ccc4[nH]nnc4c3C2)Br,5170,5.287
CCC12CCC(=O)C(=C1c3ccc4[nH]nnc4c3C2)c5ccc(O)cc5,81,7.092
CCCCC1=C2c3ccc4[nH]nnc4c3CC2(CC)CCC1=O,1127,5.948
CCCC1=C2c3ccc4[nH]nnc4c3CC2(CC)CCC1=O,352,6.453
CCC1=C2c3ccc4[nH]nnc4c3C[C@]2(CC)CCC1=O,647,6.189
CCC1=C2c3ccc4[nH]nnc4c3CC2(CC)CCC1=O,1322,5.879
CCC12CCC(=O)C(=C1c3ccc4[nH]nnc4c3C2)C,1900,5.721
Oc1ccc(cc1)[C@@H]2CC(=O)c3c(O)cc(O)c(Cc4ccccc4)c3O2,503,6.298
CC(C)(C)Cc1c(O)cc(O)c2C(=O)C[C@H](Oc12)c3ccc(O)cc3,216,6.666
CC(C)Cc1c(O)cc(O)c2C(=O)C[C@H](Oc12)c3ccc(O)cc3,80,7.097
CC(C)CCc1c(O)cc(O)c2C(=O)C[C@H](Oc12)c3ccc(O)cc3,140,6.854
CCCCCCCCCCCc1c(O)cc(O)c2C(=O)C[C@H](Oc12)c3ccc(O)cc3,1017,5.993
CCCCCCCCCc1c(O)cc(O)c2C(=O)C[C@H](Oc12)c3ccc(O)cc3,436,6.361
CCCCCCCc1c(O)cc(O)c2C(=O)C[C@H](Oc12)c3ccc(O)cc3,392,6.407
CCCCCc1c(O)cc(O)c2C(=O)C[C@H](Oc12)c3ccc(O)cc3,383,6.417
CCCc1c(O)cc(O)c2C(=O)C[C@H](Oc12)c3ccc(O)cc3,155,6.81
Cc1c(O)cc(O)c2C(=O)C[C@H](Oc12)c3ccc(O)cc3,5245,5.28
Oc1ccc(cc1)[C@@H]2CC(=O)c3c(O)cc(O)cc3O2,75302,4.123
CC(=CCc1c(O)cc(O)c2C(=O)CC(Oc12)c3ccc(O)cc3)C,57,7.244
CN(C)CCOc1ccc(cc1)c2c(nn3c(cc(nc23)C(F)(F)F)C(F)(F)F)c4ccc(O)cc4,1000,6
Oc1ccc(cc1)c2nn3c(cc(nc3c2c4ccc(OCCN5CCCCC5)cc4)C(F)(F)F)C(F)(F)F,90,7.046
Oc1ccc(cc1)c2nn3c(cc(nc3c2c4ccc(O)cc4)C(F)(F)F)C(F)(F)F,6000,5.222
Oc1ccc(c(O)c1)c2n[nH]c3cc(O)ccc23,48,7.319
CC(C)n1nc(c2ccc(O)cc2C)c3cccc(c13)C(F)(F)F,20,7.699
Cc1cc(O)ccc1c2nn(CC=C)c3c(cccc23)C(F)(F)F,59,7.229
Oc1ccc(c(O)c1)c2nn(CC=C)c3c(cccc23)C(F)(F)F,93,7.032
Oc1ccc(cc1)c2nn(C3CCCC3)c4c(F)cccc24,18,7.745
Oc1ccc(cc1)c2nn(C3CCCC3)c4c(Cl)cccc24,18,7.745
Oc1ccc(cc1)c2nn(C3CCCCC3)c4c(Cl)cccc24,37,7.432
CCCn1nc(c2ccc(O)cc2)c3cccc(Cl)c13,52,7.284
CC(C)n1nc(c2ccc(O)cc2)c3cccc(c13)C(F)(F)F,3,8.523
CCCn1nc(c2ccc(O)cc2)c3cccc(C)c13,40,7.398
CCCCn1nc(c2ccc(O)cc2)c3cccc(Cl)c13,25,7.602
OCCn1nc(c2ccc(O)cc2)c3cccc(Cl)c13,410,6.387
OCCn1nc(c2ccc(O)cc2)c3cccc(c13)C(F)(F)F,96,7.018
Oc1ccc(cc1)c2nn(Cc3ccccc3)c4c(cccc24)C(F)(F)F,196,6.708
Oc1ccc(cc1)c2nn(Cc3ccccc3)c4c(Cl)cccc24,105,6.979
Oc1ccc(c(O)c1)c2nn(c3cc(F)ccc3F)c4cc(O)ccc24,31,7.509
Oc1ccc(c(O)c1)c2nn(c3cc(Cl)ccc3Cl)c4cc(O)ccc24,15,7.824
Oc1ccc(c(O)c1)c2nn(c3cccc(Cl)c3)c4cc(O)ccc24,50,7.301
Oc1ccc(c(O)c1)c2nn(c3cccc(F)c3)c4cc(O)ccc24,39,7.409
Cc1ccc(cc1)n2nc(c3ccc(O)cc3O)c4ccc(O)cc24,40,7.398
Oc1ccc(c(O)c1)c2nn(C3CCCCC3)c4cc(O)ccc24,443,6.354
CCCCn1nc(c2ccc(O)cc2O)c3ccc(O)cc13,112,6.951
CCCn1nc(c2ccc(O)cc2O)c3ccc(O)cc13,62,7.208
Oc1ccc(c(O)c1)c2nn(CC(F)(F)F)c3cc(O)ccc23,165,6.783
CCn1nc(c2ccc(O)cc2O)c3ccc(O)cc13,305,6.516
Cn1nc(c2ccc(O)cc2O)c3ccc(O)cc13,622,6.206
Oc1ccc2c(Oc3ccc(OCCN4CCCCC4)cc3)c(sc2c1)c5ccc(NCCCl)cc5,35.6,7.449
Oc1ccc2c(Oc3ccc(OCCN4CCCCC4)cc3)c(sc2c1)c5ccc(NC(=O)CCl)cc5,666,6.177
Nc1ccc(cc1)c2sc3cc(O)ccc3c2Oc4ccc(OCCN5CCCCC5)cc4,19.3,7.714
CS(=O)(=O)c1ccc(cc1)c2sc3cc(O)ccc3c2Oc4ccc(OCCN5CCCCC5)cc4,27,7.569
Oc1ccc2c(Oc3ccc(OCCN4CCCCC4)cc3)c(sc2c1)c5ccccc5,10.9,7.963
Oc1ccc2c(Oc3ccc(OCCN4CCCCC4)cc3)c(sc2c1)c5ccc(Br)cc5,27,7.569
Oc1ccc2c(Oc3ccc(OCCN4CCCCC4)cc3)c(sc2c1)c5ccc(F)cc5,17.2,7.764
Oc1ccc(cc1)c2sc3cc(O)ccc3c2Oc4ccc(OCCN5CCCCC5)cc4,7.8,8.108
COc1ccc(cc1)c2sc3cc(O)ccc3c2Oc4ccc(OCCN5CCCCC5)cc4,21.5,7.668
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@@H]1Cc2cc(O)ccc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@H]13,193,6.714
Oc1ccc(cc1)N2C(=O)c3cc(O)cc(Br)c3C2=O,36,7.444
Oc1ccc(N2C(=O)c3ccc(O)cc3C2=O)c(F)c1,53,7.276
Cc1cc(O)ccc1N2C(=O)c3ccc(O)cc3C2=O,802,6.096
Oc1ccc2C(=O)N(C(=O)c2c1)c3ccc(O)cc3[N+](=O)[O-],21,7.678
Oc1ccc2C(=O)N(C(=O)c2c1)c3ccc(O)c4ccccc34,2640,5.578
Oc1ccc2C(=O)N(C(=O)c2c1)c3cccc4c(O)cccc34,802,6.096
COc1ccc(N2C(=O)c3ccc(O)cc3C2=O)c(OC)c1,2470,5.607
COc1ccc(cc1)N2C(=O)c3ccc(O)cc3C2=O,3300,5.481
Oc1ccc2C(=O)N(C(=O)c2c1)c3ccccc3,2700,5.569
Oc1cccc(c1)N2C(=O)c3ccc(O)cc3C2=O,2900,5.538
Oc1ccc(cc1)N2C(=O)c3ccc(O)cc3C2=O,84,7.076
O\N=C\c1ccc(c2ccc(O)cc2)c3ccccc13,95,7.022
O\N=C\c1c(Cl)cc(cc1Cl)c2ccc(O)c(F)c2,270,6.569
Cc1c(\C=N\O)c2ccccc2n1c3ccc(O)c(F)c3,298,6.526
Cc1c(\C=N\O)c2ccccc2n1c3ccc(O)cc3,270,6.569
O\N=C\c1cn(c2ccc(O)cc2)c3ccccc13,1905,5.72
O\N=C\c1ccc(c2ccc(O)cc2)c3occc13,1330,5.876
O\N=C\c1ccc(c2ccc(O)cc2)c3ccoc13,155,6.81
O\N=C\c1ccc(c2ccc(O)cc2)c3sccc13,37,7.432
O\N=C\c1ccc(c2ccc(O)cc2)c3ccsc13,20,7.699
O\N=C\c1ccc(c2ccc(O)c(F)c2)c3ccccc13,148,6.83
CS(=O)(=O)N1CC(Cc2ccc(O)cc12)c3ccc(O)cc3,32100,4.493
Oc1ccc(cc1)C2CN(CC3CC3)c4cc(O)ccc4C2,1630,5.788
CCCN1CC(Cc2ccc(O)cc12)c3ccc(O)cc3,2470,5.607
CCN1CC(Cc2ccc(O)cc12)c3ccc(O)cc3,1410,5.851
CN1CC(Cc2ccc(O)cc12)c3ccc(O)cc3,2950,5.53
COc1ccccc1[C@H](c2cccc3ccccc23)[C@@](C)(C#N)C(=O)N4CCC(CC4)c5cccc(c5)C(F)(F)F,2430,5.614
COc1cc(ccc1O)C2Nc3ccccc3C(=O)N2Cc4ccccc4,1100,5.959
COC(=O)C1=C(N)Oc2cc(O)ccc2C1c3ccc(OCc4ccc(C)cc4)cc3,56,7.252
COC(=O)C1=C(N)Oc2cc(O)ccc2C1c3ccc(OCc4ccccc4F)cc3,53,7.276
OC(=O)CCc1cc(Br)c(OCc2cccc(Br)c2)c(Br)c1,29000,4.538
CC(CCc1ccccc1)NC(=O)Cc2c([nH]c3ccccc23)c4ccccc4,11,7.959
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc2c([nH]c3ccccc23)c4ccccc4,1,9
C[C@@H](CCc1ccc(O)cc1)NC(=O)Cc2c([nH]c3ccccc23)c4ccccc4,37,7.432
CC(CCc1ccc(O)cc1)NC(=O)Cc2c([nH]c3ccccc23)c4ccccc4,1,9
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc2c([nH]c3ccc(OCCCCN4CCCCC4)cc23)c5ccccc5,31,7.509
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc2c([nH]c3ccc(OCCCN4CCCCC4)cc23)c5ccccc5,40,7.398
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc2c([nH]c3ccc(OCCN4CCCCC4)cc23)c5ccccc5,378,6.423
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc2c([nH]c3cccc(OCCN4CCCCC4)c23)c5ccccc5,1134,5.945
C[C@H](NC(=O)Cc1c([nH]c2ccccc12)c3ccccc3)c4c(C)c5cc(O)ccc5n4Cc6ccc(OCCN7CCCCC7)cc6,2,8.699
C[C@H](NC(=O)Cc1c([nH]c2ccccc12)c3ccccc3)c4c(C)c5cc(O)ccc5n4Cc6ccc(OCCN7CC[C@H](C)C7)cc6,4,8.398
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc2c(c3ccccc3)n(Cc4ccc(OCCCCN5CCCCC5)cc4)c6ccccc26,4.9,8.31
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc2c(c3ccccc3)n(Cc4ccc(OCCCN5CCCCC5)cc4)c6ccccc26,7.8,8.108
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc2c(c3ccccc3)n(C(=O)c4ccc(OCCN5CCCCC5)cc4)c6ccccc26,175,6.757
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc2c(c3ccccc3)n(Cc4ccc(OCCN5CCCCC5)cc4)c6ccccc26,20,7.699
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc2c([nH]c3c(OCCCCCN4CCCCC4)cccc23)c5ccccc5,13,7.886
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc2c([nH]c3c(OCCCCN4CCCCC4)cccc23)c5ccccc5,23,7.638
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc2c([nH]c3c(OCCCN4CCCCC4)cccc23)c5ccccc5,69,7.161
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc2c([nH]c3c(OCCN4CCCCC4)cccc23)c5ccccc5,440,6.357
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc2c([nH]c3cc(OCCCN4CCCC4)ccc23)c5ccccc5,9.1,8.041
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc2c([nH]c3cc(OCCN4CCCC4)ccc23)c5ccccc5,22,7.658
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc2c([nH]c3cc(OCCCCN4CCCCC4)ccc23)c5ccccc5,10.1,7.996
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc2c([nH]c3cc(OCCCN4CCCCC4)ccc23)c5ccccc5,13,7.886
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc2c([nH]c3cc(OCCN4CCCCC4)ccc23)c5ccccc5,8,8.097
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc2c([nH]c3ccc(OCCCCCN4CCCCC4)cc23)c5ccccc5,6.6,8.18
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C=C)[C@@H]1CC[C@@H]2O,2240,5.65
C[C@]12CC[C@H]3[C@@H](CC=C4[C@H]5CC[C@@]34CC[C@H]5O)[C@@H]1CC[C@@H]2O,8135,5.09
C[C@]12CC[C@H]3[C@@H](CC=C4[C@H]5CC[C@@]34CC[C@@H]5O)[C@@H]1CC[C@@H]2O,317,6.499
C[C@]12CC[C@H]3[C@@H](CC[C@H]4[C@H]5CCC[C@@]34CC[C@@H]5O)[C@@H]1CC[C@@H]2O,4990,5.302
C[C@]12CC[C@H]3[C@@H](CC=C4[C@H]5CC=C[C@@]34CC[C@@H]5O)[C@@H]1CC[C@@H]2O,2240,5.65
C\C=C/[C@]12CC[C@H](O)CC1=CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@H]23,1956,5.709
CC[C@]12CC[C@H](O)CC1=CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@H]23,2330,5.633
CC1=CC2=CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]3[C@@]2(C)CC1,110,6.959
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=C)CC[C@]34C)[C@@H]1CC[C@@H]2O,640,6.194
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C=C)[C@@H]1CC[C@@]2(O)C#C,150,6.824
C[C@]1(O)CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C=C)[C@H]3CC[C@]12C,1050,5.979
CC1=CC2=CC[C@H]3[C@@H]4CC[C@@](O)(C#C)[C@@]4(C)CC[C@@H]3[C@]2(CC1)C=C,1850,5.733
CC1=CC2=CC[C@H]3[C@@H]4CC[C@](C)(O)[C@@]4(C)CC[C@@H]3[C@]2(CC1)C=C,4380,5.359
C[C@]12CC[C@H]3[C@@H](CC=C4C=C(Cl)CC[C@]34C=C)[C@@H]1CC[C@@H]2O,5740,5.241
CCC1=CC2=CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]3[C@]2(CC1)C=C,3110,5.507
CC1=CC2=CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]3[C@]2(CC1)C=C,1440,5.842
C[C@]1(O)CC[C@]2(C=C)[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CC=C2C1,5300,5.276
COC[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(\C=N\O)cc5)OC,1900,5.721
Cc1c(O)c(C)c2OC=C(C(=O)c2c1O)c3ccc(O)cc3,10200,4.991
Cc1c(nn(c2ccc(O)cc2)c1c3ccc(CCCN4CCCCC4)cc3)c5ccc(O)cc5,20,7.699
Cc1c(nn(c2ccc(O)cc2)c1c3ccc(\C=C\C(=O)N4CCCCC4)cc3)c5ccc(O)cc5,1000,6
Cc1c(nn(c2ccc(O)cc2)c1c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,80,7.097
O\N=C\c1ccc(cc1F)c2ccc(O)cc2,795,6.1
CC(C)CNc1cc(\C=C\c2ccccc2)nc(NCC(C)C)n1,6900,5.161
CC(C)CCc1cc(NCC(C)C)nc(OCC(C)C)n1,6900,5.161
CC(C)CNc1nc(CCc2ccccc2)cc(n1)N(C)CC(C)C,5500,5.26
CC(C)CNc1nc(CCc2cccc3ccccc23)cc(n1)N(C)CC(C)C,4400,5.357
CC(C)CCc1cc(NCC(C)C)nc(n1)N(C)CC(C)C,9700,5.013
CC(C)CNc1cc(NCc2ccccc2)nc(NCC(C)C)n1,9500,5.022
CC(C)CNc1cc(NCC(C)C)nc(NCC(C)C)n1,2400,5.62
CC(C)CCc1cc(NCc2cccc3ccccc23)nc(NCC(C)C)n1,6700,5.174
CC(C)CCc1cc(NCc2ccccc2)nc(NCC(C)C)n1,5800,5.237
CC(C)CCc1cc(NCC(C)C)nc(NCc2cccc3ccccc23)n1,4100,5.387
CC(C)CCc1cc(NCC(C)C)nc(NCc2ccccc2)n1,1800,5.745
CCc1cc(NCC(C)C)nc(NCC(C)C)n1,7300,5.137
CC(C)CNc1cc(CCc2cccc3ccccc23)nc(NCC(C)C)n1,2100,5.678
CC(C)CCc1cc(NCc2ccccc2)nc(NCc3ccccc3)n1,8300,5.081
CC(C)CCc1cc(NCC(C)C)nc(NCC(C)C)n1,3100,5.509
CCCCc1cc(NCCC)nc(NCCC)n1,13000,4.886
CC(C)CNc1nc(CCc2ccccc2)cc(NCc3ccccc3)n1,1900,5.721
CC(C)CNc1cc(CCc2ccccc2)nc(NCc3ccccc3)n1,4500,5.347
CC(C)CNc1nc(NCc2ccccc2)cc(\C=C\c3ccccc3)n1,9800,5.009
CC(C)CNc1cc(\C=C\c2ccccc2)nc(NCc3ccccc3)n1,12000,4.921
CC(C)CNc1cc(CCc2ccccc2)nc(NCC(C)C)n1,2100,5.678
NC(=N)N\N=C\C1=C(Cl)c2ccccc2CC1,5500,5.26
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C,5000,5.301
CC(C)OC(=O)C1=CN(CC(C)(C)c2c1[nH]c3ccccc23)C(=O)c4ccc(F)c(F)c4,10000,5
C(CN1CCC1)Oc2ccc(cc2)C3=C(CCOc4ccccc34)c5ccccc5,8.77,8.057
Oc1ccc(cc1)C2=C(c3ccc(OCCN4CCC4)cc3)c5ccccc5OCC2,1.9,8.721
COc1ccc2C(=C(CCOc2c1)c3ccc(O)cc3)c4ccc(OCCN5CCC5)cc4,6.7,8.174
COc1ccc2C(=C(CCOc2c1)c3ccc(O)cc3)c4ccc(OCCN5CCCC5)cc4,10.3,7.987
Oc1ccc(cc1)C2=C(c3ccc(OCCN4CCCC4)cc3)c5ccc(O)cc5OCC2,8.4,8.076
Fc1ccc2C(=C(CCOc2c1)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,16.2,7.79
Oc1ccc(cc1)C2=C(c3ccc(OCCN4CCCC4)cc3)c5ccc(F)cc5OCC2,10.4,7.983
Oc1cccc(c1)C2=C(c3ccc(OCCN4CCCC4)cc3)c5ccc(F)cc5OCC2,14,7.854
Fc1ccc(cc1)C2=C(c3ccc(OCCN4CCCC4)cc3)c5ccc(F)cc5OCC2,126,6.9
Oc1ccc(cc1)C2=C(c3ccc(OCCN4CCCCC4)cc3)c5ccc(F)cc5OCC2,6.5,8.187
Oc1ccc(cc1)C2=C(CCOc3cc(F)ccc23)c4ccc(OCCN5CCCC5)cc4,5.57,8.254
C\C(=C(\Cl)/c1ccccc1)\C=N\NC(=N)N,37000,4.432
NC(=N)N\N=C\C1=C(Cl)c2ccccc2CCC1,16000,4.796
COc1cc2oc(cc2cc1O)c3ccc(O)cc3O,46,7.337
COc1cc(O)c2c(C=O)c(oc2c1)c3ccc(O)cc3O,43,7.367
CC(=CCc1c(O)c(CC(O)C(=C)C)c(O)c2C(=O)C(=COc12)c3ccc(O)c(O)c3)C,29000,4.538
CC(=CCc1c(O)c2C(=O)C(=COc2c3CC(Oc13)C(C)(C)O)c4ccc(O)c(O)c4)C,13000,4.886
CC(=CCc1c(O)c(CC(O)C(=C)C)c2OC=C(C(=O)c2c1O)c3ccc(O)c(O)c3)C,18000,4.745
CC[C@@]12C[C@H](O)[C@@](O)(C[C@H]1CCc3cc(O)ccc23)c4ccccc4,3400,5.469
CC[C@@]12CC[C@@](O)(C[C@H]1CCc3cc(OCc4ccncc4)ccc23)C#CC,670,6.174
CC[C@@]12CC[C@@](O)(C[C@H]1CCc3cc(O)ccc23)C#CC,89,7.051
CC#C[C@@]1(O)CC[C@]2(CC=C)[C@H](CCc3cc(O)ccc23)C1,93,7.032
Oc1ccc2C(=C(Cc3ccccc3)C(=O)Oc2c1)C(F)(F)F,1000,6
Cc1cccc(SCC2=CC(=O)Oc3cc(O)ccc23)n1,50000,4.301
Cn1cc(nn1)[C@]2(O)CC[C@H]3[C@@H]4CCc5cc(O)ccc5[C@H]4CC[C@]23C,400,6.398
COc1cc2[C@H]3CC[C@@]4(C)[C@@H](CCC4=O)[C@@H]3CCc2cc1O,11000,4.959
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)c(Cl)cc34)[C@@H]1CCCC2=O,770,6.114
COc1cc2[C@H]3CC[C@@]4(C)[C@@H](CCCC4=O)[C@@H]3CCc2cc1O,6200,5.208
Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@@H]3c5ccc(OCCN6CCCCC6)cc5,1.1,8.959
Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@@H]3c5ccc(OCCN6CCCC6)cc5,1.2,8.921
Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@@H]3c5ccc(OCCN6CCSCC6)cc5,1.2,8.921
Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@@H]3c5ccc(OCCN6CCOCC6)cc5,1.6,8.796
Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@@H]3c5ccc(OCCN6CCCCCC6)cc5,2.2,8.658
Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@H]3c5ccc(OCCN6CCCCCC6)cc5,2.4,8.62
Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@H]3c5ccc(OCCN6CCCC6)cc5,2.5,8.602
Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@@H]3c5ccc(OCCCN6C(=O)CCC6=O)cc5,2.63,8.58
